House_Id,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,FirstFlrSF,SecFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
19,5,1958,1965,0.0,504,1029,1339,0,1339,1,6,0,1958.0,1,294,0,0,139000
20,8,2005,2006,380.0,0,1158,1158,1218,2376,3,9,1,2005.0,3,853,240,154,325300
21,7,1930,1950,0.0,0,637,1108,0,1108,1,6,1,1930.0,1,280,0,0,139400
22,8,2002,2002,281.0,0,1777,1795,0,1795,2,7,1,2002.0,2,534,171,159,230000
23,5,1976,1976,0.0,840,1040,1060,0,1060,1,6,1,1976.0,2,572,100,110,129900
24,5,1968,2001,0.0,188,1060,1060,0,1060,1,6,1,1968.0,1,270,406,90,154000
25,8,2007,2007,640.0,0,1566,1600,0,1600,2,7,1,2007.0,3,890,0,56,256300
26,5,1951,2000,0.0,234,900,900,0,900,1,5,0,2005.0,2,576,222,32,134800
27,8,2007,2008,200.0,1218,1704,1704,0,1704,2,7,1,2008.0,3,772,0,50,306000
28,5,1957,1997,0.0,1277,1484,1600,0,1600,1,6,2,1957.0,1,319,288,258,207500
29,4,1927,1950,0.0,0,520,520,0,520,1,4,0,1920.0,1,240,49,0,68500
30,4,1920,1950,0.0,0,649,649,668,1317,1,6,0,1920.0,1,250,0,54,40000
31,5,1966,2006,0.0,0,1228,1228,0,1228,1,6,0,1966.0,1,271,0,65,149350
32,8,2007,2007,0.0,0,1234,1234,0,1234,2,7,0,2007.0,2,484,0,30,179900
33,5,1959,1959,0.0,1018,1398,1700,0,1700,1,6,1,1959.0,2,447,0,38,165500
34,9,2005,2005,246.0,1153,1561,1561,0,1561,2,6,1,2005.0,2,556,203,47,277500
35,8,2004,2005,132.0,0,1117,1132,1320,2452,3,9,1,2004.0,3,691,113,32,309000
36,5,1994,1995,0.0,0,1097,1097,0,1097,1,6,0,1995.0,2,672,392,64,145000
37,5,1954,1990,650.0,1213,1297,1297,0,1297,1,5,1,1954.0,2,498,0,0,153000
38,5,1953,2007,0.0,731,1057,1057,0,1057,1,5,0,1953.0,1,246,0,52,109000
39,4,1955,1955,0.0,0,0,1152,0,1152,2,6,0,1978.4640522875818,0,0,0,0,82000
40,6,1965,1965,101.0,643,1088,1324,0,1324,2,6,1,1965.0,2,440,0,138,160000
41,5,1959,1959,0.0,967,1350,1328,0,1328,1,5,2,1959.0,1,308,0,104,170000
42,5,1983,1983,0.0,747,840,884,0,884,1,5,0,1983.0,2,504,240,0,144000
43,5,1975,1980,0.0,280,938,938,0,938,1,5,0,1977.0,1,308,145,0,130250
44,5,1959,1959,0.0,179,1150,1150,0,1150,1,6,0,1959.0,1,300,0,0,141000
45,9,2005,2005,412.0,456,1752,1752,0,1752,2,6,1,2005.0,2,576,196,82,319900
46,7,2003,2003,0.0,1351,1434,1518,631,2149,1,6,1,2003.0,2,670,168,43,239686
47,8,2006,2006,0.0,24,1656,1656,0,1656,2,7,0,2006.0,3,826,0,146,249700
48,4,1920,2008,0.0,0,736,736,716,1452,2,8,0,1978.4640522875818,0,0,0,0,113000
49,5,1966,1966,0.0,763,955,955,0,955,1,6,0,1966.0,1,386,0,0,127000
50,6,1997,1997,0.0,182,794,794,676,1470,2,6,0,1997.0,2,388,0,75,177000
51,6,1934,1950,0.0,0,816,816,0,1176,1,6,1,1985.0,2,528,112,0,114500
52,5,1963,1963,0.0,104,816,816,0,816,1,5,0,1963.0,2,516,106,0,110000
53,9,1981,1987,0.0,1810,1842,1842,0,1842,0,5,1,1981.0,3,894,857,72,385000
54,5,1955,1955,0.0,384,384,1360,0,1360,1,6,1,1962.0,2,572,0,50,130000
55,6,1964,1964,272.0,490,1425,1425,0,1425,2,7,1,1964.0,2,576,0,0,180500
56,8,1999,2000,456.0,649,970,983,756,1739,2,7,0,1999.0,2,480,115,0,172500
57,7,2004,2004,0.0,0,860,860,860,1720,2,7,0,2004.0,2,565,0,70,196500
58,10,2006,2006,1031.0,0,1410,1426,1519,2945,3,10,1,2006.0,3,641,192,0,438780
59,5,1972,1972,0.0,632,780,780,0,780,1,4,0,1973.0,1,352,196,0,124900
60,6,2004,2004,0.0,941,1158,1158,0,1158,1,5,0,2006.0,2,576,0,50,158000
61,5,1920,1996,0.0,0,530,581,530,1111,1,6,0,1935.0,1,288,0,0,101000
62,8,2006,2006,178.0,24,1370,1370,0,1370,2,6,1,2006.0,2,484,120,49,202500
63,7,1921,1950,0.0,0,576,902,808,1710,2,9,0,1990.0,2,480,12,11,140000
64,7,1997,1998,573.0,739,1057,1057,977,2034,2,8,0,1998.0,2,645,576,36,219500
65,8,2004,2005,344.0,0,1143,1143,1330,2473,2,9,1,2004.0,3,852,192,151,317000
66,7,1970,1989,287.0,912,1947,2207,0,2207,2,7,1,1970.0,2,576,301,0,180000
67,7,2003,2003,167.0,1013,1453,1479,0,1479,2,7,0,2003.0,2,558,144,29,226000
68,4,1945,1950,0.0,0,747,747,0,747,1,4,0,1945.0,1,220,0,0,80000
69,7,1953,1953,0.0,603,1304,1304,983,2287,2,7,1,1953.0,2,667,0,21,225000
70,7,1973,1973,1115.0,1880,2223,2223,0,2223,2,8,2,1973.0,2,516,300,0,244000
71,4,1982,2006,0.0,565,845,845,0,845,1,4,0,1987.0,2,360,0,0,129500
72,7,1998,1998,40.0,0,832,885,833,1718,2,7,1,1998.0,2,427,0,94,185000
73,5,1954,2003,104.0,320,1086,1086,0,1086,1,6,0,1989.0,2,490,0,0,144900
74,3,1915,1950,0.0,0,840,840,765,1605,2,8,0,1915.0,1,379,0,0,107400
75,4,1973,1973,0.0,462,462,526,462,988,1,5,0,1973.0,1,297,120,101,91000
76,4,1956,1956,0.0,228,952,952,0,952,1,4,0,1956.0,1,283,0,0,135750
77,5,1948,2001,0.0,336,672,1072,213,1285,1,6,0,1948.0,1,240,0,0,127000
78,4,1968,1968,0.0,0,1768,1768,0,1768,2,8,0,1978.4640522875818,0,0,0,0,136500
79,5,1910,1981,0.0,0,440,682,548,1230,1,5,0,1966.0,2,440,74,0,110000
80,6,1968,1968,576.0,448,896,1182,960,2142,2,8,1,1968.0,1,509,0,72,193500
81,6,1998,1998,443.0,1201,1237,1337,0,1337,2,5,0,1998.0,2,405,0,199,153500
82,8,2007,2007,468.0,33,1563,1563,0,1563,2,6,1,2007.0,3,758,144,99,245000
83,5,1960,1960,66.0,0,1065,1065,0,1065,1,6,0,1974.0,2,461,74,0,126500
84,7,1995,1996,22.0,0,384,804,670,1474,2,7,1,1995.0,2,400,120,72,168500
85,8,1991,1992,284.0,0,1288,1301,1116,2417,2,9,1,1991.0,2,462,127,82,260000
86,6,2005,2005,0.0,0,684,684,876,1560,2,6,1,2005.0,2,400,100,38,174000
87,6,2009,2009,76.0,0,612,612,612,1224,2,4,0,2009.0,2,528,0,234,164500
88,3,1915,1982,0.0,0,1013,1013,0,1526,1,6,0,1978.4640522875818,0,0,0,0,85000
89,4,1994,1995,0.0,588,990,990,0,990,1,5,0,1978.4640522875818,0,0,0,0,123600
90,4,1950,1950,0.0,0,0,1040,0,1040,1,4,0,1950.0,2,420,0,29,109900
91,5,1961,1961,203.0,600,1235,1235,0,1235,1,6,0,1961.0,2,480,0,0,98600
92,5,1921,2006,0.0,713,876,964,0,964,1,5,0,1921.0,2,432,0,0,163500
93,6,1910,1998,0.0,1046,1214,1260,1031,2291,2,9,1,1900.0,2,506,0,0,133900
94,6,1997,1997,0.0,648,824,905,881,1786,2,7,0,1997.0,2,684,0,162,204750
95,6,1993,1993,68.0,310,680,680,790,1470,2,6,1,1993.0,2,420,232,63,185000
96,7,1999,1999,183.0,1162,1588,1588,0,1588,2,6,0,1999.0,2,472,158,29,214000
97,4,1965,1965,48.0,520,960,960,0,960,1,6,0,1965.0,1,432,120,0,94750
98,5,1920,1950,0.0,108,458,835,0,835,1,5,0,1920.0,1,366,0,0,83000
99,4,1959,1959,0.0,569,950,1225,0,1225,1,6,0,1978.4640522875818,0,0,352,0,128950
100,6,1977,2001,28.0,1200,1610,1610,0,1610,2,6,2,1977.0,2,480,168,68,205000
101,6,1985,1985,336.0,0,741,977,755,1732,2,7,1,1985.0,2,476,192,46,178000
102,5,1979,1979,0.0,0,0,1535,0,1535,2,8,0,1979.0,2,410,0,0,118964
103,7,2009,2009,0.0,0,1226,1226,0,1226,2,6,0,2009.0,3,740,0,36,198900
104,7,1931,1950,600.0,224,1040,1226,592,1818,1,7,2,1951.0,1,240,0,0,169500
105,8,2003,2004,768.0,0,1053,1053,939,1992,2,9,1,2003.0,2,648,140,45,250000
106,4,1885,1995,0.0,0,641,1047,0,1047,1,6,0,1954.0,1,273,0,0,100000
107,5,1948,1950,0.0,104,789,789,0,789,1,5,0,1948.0,1,250,0,0,115000
108,5,1919,2005,0.0,0,793,997,520,1517,2,7,0,1978.4640522875818,0,0,0,0,115000
109,6,1977,1977,480.0,705,1844,1844,0,1844,2,7,1,1977.0,2,546,0,122,190000
110,6,1954,1972,0.0,444,994,1216,639,1855,2,7,0,1954.0,1,325,182,0,136900
111,7,2000,2000,0.0,250,384,774,656,1430,2,7,1,2000.0,2,400,180,0,180000
112,7,2007,2007,220.0,984,1264,1282,1414,2696,2,10,1,2007.0,3,792,120,184,383970
113,6,1953,1953,184.0,35,1809,2259,0,2259,2,7,2,1953.0,2,450,166,120,217000
114,6,1945,2002,0.0,774,1028,1436,884,2320,2,9,1,1945.0,1,180,224,0,259500
115,6,1999,1999,1129.0,419,729,729,729,1458,2,5,1,1999.0,2,440,0,32,176000
116,5,1962,1962,116.0,170,1092,1092,0,1092,1,6,1,1962.0,1,288,0,20,139000
117,5,2006,2007,0.0,0,1125,1125,0,1125,1,5,0,2007.0,2,430,80,64,155000
118,7,1990,1990,0.0,1470,1673,1699,1523,3222,3,11,2,1990.0,3,594,367,0,320000
119,6,2005,2006,0.0,0,728,728,728,1456,2,8,1,2005.0,2,390,0,24,163990
120,6,1969,1969,0.0,938,938,988,0,988,1,4,2,1969.0,2,540,0,130,180000
121,4,1939,1950,0.0,0,732,772,351,1123,1,4,0,1979.0,1,264,0,0,100000
122,6,1958,1958,135.0,570,1080,1080,0,1080,1,5,0,1958.0,1,288,0,0,136000
123,6,1993,1993,0.0,300,1199,1199,0,1199,2,5,0,1993.0,2,530,0,63,153900
124,6,1979,1998,0.0,0,1362,1586,0,1586,2,7,1,1979.0,2,435,192,0,181000
125,6,1935,1982,0.0,490,520,520,0,754,1,5,0,1978.4640522875818,0,0,53,0,84500
126,6,1976,1976,0.0,120,1078,958,0,958,2,5,1,1977.0,2,440,0,205,128000
127,5,1930,1950,0.0,116,672,840,0,840,1,5,1,1978.4640522875818,0,0,0,0,87000
128,6,1966,1966,266.0,512,660,660,688,1348,1,6,1,1966.0,2,453,188,108,155000
129,5,1958,1991,85.0,567,1008,1053,0,1053,1,6,0,1998.0,2,750,0,80,150000
130,7,1966,1966,309.0,445,924,1216,941,2157,2,8,2,1966.0,2,487,105,66,226000
131,6,2000,2000,40.0,695,992,1022,1032,2054,2,7,1,2000.0,2,390,24,48,244000
132,5,1959,2002,0.0,405,1063,1327,0,1327,1,7,0,1974.0,2,624,0,0,150750
133,8,2001,2002,136.0,1005,1267,1296,0,1296,2,6,0,2001.0,2,471,192,25,220000
134,5,1968,1993,0.0,570,1461,1721,0,1721,2,7,1,1968.0,2,440,0,96,180000
135,7,1970,1970,288.0,0,1304,1682,0,1682,2,7,1,1970.0,2,530,98,0,174000
136,5,1967,1967,196.0,695,1214,1214,0,1214,2,5,1,1967.0,1,318,0,111,143000
137,7,1988,1989,70.0,0,1907,1959,0,1959,3,9,0,1989.0,3,766,0,0,171000
138,8,1999,2000,320.0,668,1004,1004,848,1852,2,7,2,1999.0,3,660,224,106,230000
139,6,1997,1997,0.0,821,928,928,836,1764,2,7,0,1997.0,2,470,276,99,231500
140,4,1971,1971,0.0,432,864,864,0,864,1,5,1,1978.4640522875818,0,0,0,0,115000
141,7,2005,2005,0.0,1300,1734,1734,0,1734,2,7,0,2005.0,2,660,160,24,260000
142,5,1952,1952,0.0,507,910,910,475,1385,2,6,0,2000.0,2,720,0,0,166000
143,7,1999,1999,183.0,679,1490,1501,0,1501,2,6,0,1999.0,2,577,144,29,204000
144,5,1963,1963,336.0,1332,1728,1728,0,1728,2,10,0,1963.0,2,504,0,0,125000
145,6,2004,2006,50.0,0,970,970,739,1709,2,7,0,2004.0,2,380,0,40,130000
146,5,1931,1993,0.0,209,715,875,0,875,1,5,0,1931.0,1,180,48,0,105000
147,7,2001,2001,180.0,0,884,884,1151,2035,2,8,1,2001.0,2,434,144,48,222500
148,7,2004,2005,120.0,680,1080,1080,0,1080,1,6,0,1978.4640522875818,0,0,0,0,141000
149,5,1936,1950,0.0,0,896,896,448,1344,1,7,0,1936.0,1,240,200,114,115000
150,5,1975,1975,0.0,716,969,969,0,969,1,5,0,1975.0,2,440,0,0,122000
151,8,2007,2008,436.0,1400,1710,1710,0,1710,2,6,1,2007.0,3,866,0,102,372402
152,6,1971,1971,252.0,416,825,1097,896,1993,2,8,1,1971.0,2,495,0,66,190000
153,6,1960,1975,0.0,429,1602,1252,0,1252,1,4,1,1960.0,2,564,409,0,235000
154,6,1923,1950,0.0,0,1200,1200,0,1200,1,7,0,1923.0,1,312,0,0,125000
155,6,1924,1950,0.0,0,572,572,524,1096,1,5,0,1978.4640522875818,0,0,0,8,79000
156,5,1950,1950,0.0,0,0,1040,0,1040,1,5,0,1950.0,2,625,0,0,109500
157,8,2009,2010,84.0,0,774,774,1194,1968,2,8,1,2009.0,3,680,0,75,269500
158,7,2004,2005,0.0,222,991,991,956,1947,2,8,1,2004.0,2,678,0,136,254900
159,7,2005,2006,456.0,57,1392,1392,1070,2462,2,9,1,2006.0,2,576,239,132,320000
160,6,1984,1984,0.0,660,1232,1232,0,1232,2,6,0,1984.0,2,516,0,0,162500
161,9,2003,2004,664.0,1016,1572,1572,1096,2668,2,10,2,2003.0,3,726,400,0,412500
162,7,2005,2005,226.0,1201,1541,1541,0,1541,2,7,1,2005.0,2,532,0,70,220000
163,4,1956,1956,0.0,0,882,882,0,882,1,4,0,1978.4640522875818,0,0,0,0,103200
164,6,1926,2004,0.0,370,1149,1149,467,1616,2,5,0,1926.0,1,216,0,0,152000
165,5,1940,1999,0.0,351,644,808,547,1355,2,6,0,1978.4640522875818,0,0,140,0,127500
166,5,1955,1993,0.0,379,1617,1867,0,1867,1,7,3,1955.0,1,303,476,0,190000
167,8,2007,2007,300.0,1288,1582,1610,551,2161,1,8,1,2007.0,3,789,178,120,325624
168,7,2004,2004,0.0,0,840,840,880,1720,2,7,1,2004.0,2,440,100,48,183500
169,8,1981,1981,653.0,0,1686,1707,0,1707,2,6,1,1981.0,2,511,574,64,228000
170,5,1941,1950,0.0,360,720,854,0,1382,1,7,0,1991.0,2,660,237,0,128500
171,6,1960,1960,112.0,639,1080,1656,0,1656,1,7,2,1960.0,2,528,210,62,215000
172,7,1987,1987,0.0,495,1064,1064,703,1767,2,5,1,1987.0,2,504,441,35,239000
173,6,1961,1961,491.0,288,1362,1362,0,1362,1,6,1,1961.0,2,504,0,20,163000
174,6,1986,1986,132.0,1398,1606,1651,0,1651,2,7,1,1986.0,2,616,192,0,184000
175,6,1950,2001,0.0,477,1202,2158,0,2158,2,7,1,1950.0,2,576,0,29,243000
176,6,1988,1989,268.0,831,1151,1164,896,2060,2,8,1,1988.0,2,521,0,228,211000
177,5,1958,1958,0.0,57,1052,1252,668,1920,2,8,1,1958.0,2,451,0,0,172500
178,9,2008,2009,748.0,1904,2216,2234,0,2234,2,9,1,2009.0,3,1166,0,60,501837
179,5,1923,2006,0.0,0,968,968,0,968,1,5,0,1935.0,2,480,0,0,100000
180,6,2000,2000,456.0,436,756,769,756,1525,2,5,1,2000.0,2,440,0,0,177000
181,7,1920,1950,0.0,352,793,901,901,1802,1,9,1,1920.0,1,216,0,0,200100
182,5,1957,2006,98.0,0,0,1340,0,1340,1,7,1,1957.0,1,252,116,0,120000
183,7,2003,2003,0.0,0,1362,1362,720,2082,2,6,0,2003.0,2,484,280,238,200000
184,5,1908,1991,0.0,0,504,936,316,1252,1,5,0,1986.0,2,576,104,0,127000
185,10,1892,1993,0.0,0,1107,1518,1518,3608,2,12,2,1993.0,3,840,0,260,475000
186,7,1990,1991,0.0,611,1188,1217,0,1217,2,6,0,1990.0,2,497,168,27,173000
187,5,1916,1987,0.0,0,660,808,704,1656,2,8,0,1916.0,1,180,0,0,135000
188,5,1979,1979,275.0,1086,1086,1224,0,1224,0,6,2,1979.0,2,528,120,0,153337
189,8,2001,2002,0.0,1153,1593,1593,0,1593,1,5,1,2001.0,2,682,0,120,286000
190,8,1932,1994,0.0,297,853,1549,1178,2727,2,10,2,1932.0,2,440,0,74,315000
191,7,1972,2004,138.0,626,725,725,754,1479,1,7,0,1972.0,2,484,0,32,184000
192,7,1999,1999,0.0,560,1431,1431,0,1431,2,6,0,1999.0,2,666,0,35,192000
193,7,2004,2004,50.0,0,970,970,739,1709,2,7,0,2004.0,2,380,0,40,130000
194,5,1972,1972,0.0,390,864,864,0,864,1,5,0,1989.0,1,352,0,0,127000
195,6,1976,1976,0.0,566,855,855,601,1456,2,7,1,1976.0,2,440,87,0,148500
196,7,2007,2007,205.0,1126,1726,1726,0,1726,2,8,1,2007.0,3,786,171,138,311872
197,8,1918,1990,0.0,1036,1360,1360,1360,3112,2,8,1,1918.0,2,795,0,16,235000
198,6,1912,1950,0.0,0,755,929,929,2229,1,8,0,1978.4640522875818,0,0,0,198,104000
199,8,2004,2005,262.0,1088,1713,1713,0,1713,2,7,1,2004.0,3,856,0,26,274900
200,4,2003,2004,0.0,0,1121,1121,0,1121,2,5,0,2003.0,2,440,132,64,140000
201,6,1977,1977,0.0,641,1196,1279,0,1279,2,6,2,1980.0,2,473,238,83,171500
202,6,1924,1950,0.0,617,617,865,445,1310,2,6,0,1924.0,1,398,0,0,112000
203,6,2004,2004,205.0,662,848,848,0,848,1,3,1,2004.0,2,420,149,0,149000
204,5,1947,1950,0.0,312,720,720,564,1284,1,5,0,1948.0,1,240,0,35,110000
205,7,1990,1990,0.0,0,1424,1442,0,1442,2,5,0,1990.0,2,500,0,34,180500
206,5,1962,1962,0.0,0,1140,1696,0,1696,1,8,1,1962.0,1,349,0,30,143900
207,4,1960,1960,0.0,419,1100,1100,0,1100,1,6,1,1960.0,1,312,355,0,141000
208,7,1988,1989,128.0,1065,1157,1180,882,2062,2,7,1,1988.0,2,454,60,55,277000
209,6,1964,1964,260.0,787,1092,1092,0,1092,1,6,0,1964.0,2,504,0,0,145000
210,5,1925,1950,0.0,468,864,864,0,864,1,5,0,1978.4640522875818,0,0,0,0,98000
211,6,2009,2009,0.0,36,1212,1212,0,1212,2,6,0,2009.0,2,460,100,22,186000
212,7,2009,2009,0.0,822,900,932,920,1852,2,7,1,2009.0,2,644,168,108,252678
213,5,1995,1995,0.0,716,990,990,0,990,1,5,0,1996.0,2,576,224,0,156000
214,6,1977,1977,153.0,378,689,689,703,1392,1,6,0,1977.0,1,299,0,36,161750
215,5,1957,1996,64.0,360,1070,1236,0,1236,1,6,1,1957.0,1,447,0,0,134450
216,7,2004,2004,266.0,946,1436,1436,0,1436,2,8,0,2004.0,2,484,139,98,210000
217,4,1925,1950,0.0,0,686,810,518,1328,1,8,0,1940.0,1,210,0,172,107000
218,7,1939,2006,312.0,341,798,1137,817,1954,1,8,2,1939.0,2,431,0,119,311500
219,7,2005,2006,16.0,16,1248,1248,0,1248,2,5,0,2005.0,2,438,108,0,167240
220,7,2006,2006,0.0,0,1498,1498,0,1498,2,5,0,2006.0,2,675,351,33,204900
221,6,2002,2002,0.0,0,1010,1010,1257,2267,2,8,1,2002.0,2,390,120,46,200000
222,6,1975,1975,0.0,550,713,811,741,1552,2,6,1,1975.0,2,434,209,208,179900
223,4,1971,1971,0.0,524,864,864,0,864,1,4,0,1989.0,2,576,216,0,97000
224,10,2003,2003,922.0,56,2392,2392,0,2392,2,8,1,2003.0,3,968,248,105,386250
225,5,1971,1971,142.0,0,630,630,672,1302,2,6,0,1991.0,1,280,0,0,112000
226,7,1995,1995,290.0,565,1203,1214,1306,2520,2,9,1,1995.0,3,721,224,114,290000
227,6,1970,1970,127.0,321,483,483,504,987,1,5,0,1987.0,1,280,0,0,106000
228,5,1967,1967,0.0,842,912,912,0,912,1,5,1,1974.0,1,336,0,0,125000
229,7,2005,2006,16.0,16,1373,1555,0,1555,2,7,1,2005.0,2,430,143,20,192500
230,6,1959,1959,220.0,0,1194,1194,0,1194,1,6,0,1959.0,1,312,0,0,148000
231,8,1995,1996,506.0,689,1462,1490,1304,2794,2,9,1,1995.0,3,810,0,146,403000
232,6,1972,1972,297.0,0,483,483,504,987,1,5,1,1972.0,1,288,0,0,94500
233,5,1976,1976,0.0,182,894,894,0,894,1,5,0,1976.0,1,308,365,0,128200
234,6,2002,2002,102.75379310344827,625,860,860,1100,1960,2,8,2,2002.0,2,440,288,48,216500
235,6,1971,1971,604.0,358,483,483,504,987,1,5,0,1971.0,1,264,0,0,89500
236,7,2004,2004,98.0,24,1414,1414,0,1414,2,6,0,2004.0,2,494,132,105,185500
237,7,1993,2003,0.0,402,996,1014,730,1744,2,7,0,1993.0,2,457,370,70,194500
238,8,2007,2007,254.0,0,1694,1694,0,1694,2,7,0,2007.0,3,818,168,228,318000
239,6,1945,1950,0.0,94,735,798,689,1487,1,7,1,1949.0,1,220,0,140,113000
240,8,2008,2008,36.0,1078,1566,1566,0,1566,2,7,0,2008.0,2,750,144,168,262500
241,5,1945,1997,0.0,329,686,866,0,866,1,4,0,1978.4640522875818,0,0,58,42,110500
242,5,1900,1950,0.0,0,540,889,551,1440,1,6,0,1940.0,1,352,0,0,79000
243,6,1980,1980,0.0,0,626,626,591,1217,1,6,1,1980.0,1,288,0,28,120000
244,7,1994,2002,0.0,695,948,1222,888,2110,2,8,2,1994.0,2,463,0,130,205000
245,7,1988,1988,102.0,929,1845,1872,0,1872,2,6,1,1988.0,2,604,197,39,241500
246,6,1910,1950,0.0,0,1020,908,1020,1928,2,9,0,1910.0,1,440,0,60,137000
247,6,1954,1954,0.0,0,1367,1375,0,1375,1,5,1,1954.0,2,451,0,30,140000
248,7,2003,2003,101.0,0,840,840,828,1668,2,8,0,2003.0,2,500,144,68,180000
249,6,1958,2006,472.0,697,1444,1444,700,2144,2,7,2,1958.0,2,389,0,98,277000
250,3,1940,1966,0.0,0,728,1306,0,1306,1,6,0,1978.4640522875818,0,0,263,0,76500
251,8,2006,2007,481.0,1573,1573,1625,0,1625,2,5,1,2006.0,2,538,123,0,235000
252,6,2004,2004,0.0,0,798,798,842,1640,2,6,0,2004.0,2,520,138,45,173000
253,6,1964,1991,108.0,270,1302,1302,0,1302,2,7,0,1964.0,1,309,333,0,158000
254,5,1957,1957,0.0,922,1314,1314,0,1314,1,5,0,1957.0,1,294,250,0,145000
255,7,1999,1999,302.0,0,975,1005,1286,2291,2,8,1,1999.0,2,429,192,0,230000
256,6,2003,2003,0.0,503,864,864,864,1728,2,7,0,2003.0,2,673,216,56,207500
257,7,2006,2006,180.0,1334,1604,1604,0,1604,2,8,1,2006.0,2,660,123,110,220000
258,7,2001,2001,172.0,361,963,963,829,1792,2,7,1,2001.0,2,564,0,96,231500
259,5,1956,1956,0.0,0,0,882,0,882,1,4,0,1956.0,1,308,0,45,97000
260,6,1962,1962,399.0,672,1362,1382,0,1382,1,6,1,1991.0,2,884,0,0,176000
261,8,2007,2007,270.0,0,1482,1482,1092,2574,2,10,1,2007.0,3,868,0,148,276000
262,6,1977,1995,46.0,506,506,1212,0,1212,1,6,1,1978.0,2,492,292,12,151000
263,5,1929,2001,0.0,234,926,926,0,1316,1,6,0,1974.0,2,484,0,0,130000
264,5,1925,2004,0.0,0,680,764,0,764,1,4,0,1965.0,2,504,0,0,73000
265,6,1981,1981,210.0,588,1422,1422,0,1422,2,7,1,1981.0,2,576,276,0,175500
266,6,1997,1997,0.0,714,802,802,709,1511,2,8,1,1997.0,2,413,95,75,185000
267,5,1939,1997,0.0,378,720,1052,720,2192,2,8,1,1939.0,1,240,262,24,179500
268,5,1940,1955,0.0,403,740,778,0,778,1,4,1,1966.0,1,924,0,25,120500
269,6,1976,1976,174.0,751,1143,1113,0,1113,1,6,1,1987.0,1,504,370,30,148000
270,8,2006,2006,0.0,0,1095,1095,844,1939,2,8,1,2006.0,3,1053,192,51,266000
271,7,1954,2005,0.0,226,1385,1363,0,1363,1,5,2,1954.0,2,439,81,0,241500
272,8,1999,2007,348.0,524,1152,1164,1106,2270,2,9,1,1999.0,3,671,132,57,290000
273,6,1958,1988,183.0,620,1240,1632,0,1632,2,6,1,1958.0,1,338,289,0,139000
274,5,1982,1982,0.0,546,816,816,0,816,1,5,0,1982.0,1,264,168,0,124500
275,7,1925,2007,0.0,0,952,952,596,1548,2,5,0,1978.0,2,672,74,0,205000
276,7,2003,2003,0.0,0,1560,1560,0,1560,2,7,0,2003.0,2,573,100,150,201000
277,4,1951,1951,0.0,120,864,864,0,864,1,4,0,1951.0,2,400,0,0,141000
278,9,2006,2007,315.0,0,2121,2121,0,2121,2,8,1,2007.0,3,732,124,98,415298
279,7,1977,1977,299.0,392,1160,1156,866,2022,2,8,1,1977.0,2,505,288,117,192000
280,7,1989,1989,340.0,421,807,1175,807,1982,2,7,1,1989.0,2,575,0,84,228500
281,6,2006,2006,68.0,905,1262,1262,0,1262,2,5,0,2006.0,2,572,0,120,185000
